260222 012844.577|CONFIG|qtp477289012-58|log|Now logging to C:\Users\Shahd\git\2shahds_WCF_2026\logs directory.
260222 012844.579|INFO|qtp477289012-58|log|
260222 012844.579|INFO|qtp477289012-58|log|Version 9.10.0 () Java ver 21.0.8 build 7065 Windows 11 10.0 (amd64) 
260222 012844.580|INFO|qtp477289012-58|log|Working directory is C:\Users\Shahd\git\2shahds_WCF_2026
260222 012844.580|INFO|qtp477289012-58|log|Process id is 31660@DESKTOP-5EPLK95
260222 012844.580|INFO|qtp477289012-58|log|Starting ConnectionManager...
260222 012844.582|INFO|qtp477289012-58|log|Started ConnectionManager
260222 012844.593|SEVERE|qtp477289012-58|log|Cannot start PC^2, pc2v9.ini file not found in C:\Users\Shahd\git\2shahds_WCF_2026
260222 012844.593|INFO|qtp477289012-58|log|Contacting server at localhost:50002
260222 012844.593|INFO|qtp477289012-58|log|Connecting to localhost:50002
