260224 212953.519|CONFIG|qtp38997010-20|log|Now logging to C:\Users\Lenovo\git\2shahds_WCF_2026\logs directory.
260224 212953.520|INFO|qtp38997010-20|log|
260224 212953.520|INFO|qtp38997010-20|log|Version 9.10.0 () Java ver 1.8.0_51 build 7065 Windows 8.1 6.3 (amd64) 
260224 212953.520|INFO|qtp38997010-20|log|Working directory is C:\Users\Lenovo\git\2shahds_WCF_2026
260224 212953.521|INFO|qtp38997010-20|log|Process id is 19300@lilsaados
260224 212953.521|INFO|qtp38997010-20|log|Starting ConnectionManager...
260224 212953.523|INFO|qtp38997010-20|log|Started ConnectionManager
260224 212953.523|SEVERE|qtp38997010-20|log|Cannot start PC^2, pc2v9.ini file not found in C:\Users\Lenovo\git\2shahds_WCF_2026
260224 212953.523|INFO|qtp38997010-20|log|Contacting server at localhost:50002
260224 212953.523|INFO|qtp38997010-20|log|Connecting to localhost:50002
