260410 173526.608|CONFIG|qtp1607460018-24|log|Now logging to C:\Users\Lenovo\git\2shahds_WCF_2026\logs directory.
260410 173526.610|INFO|qtp1607460018-24|log|
260410 173526.610|INFO|qtp1607460018-24|log|Version 9.10.0 () Java ver 1.8.0_51 build 7065 Windows 8.1 6.3 (amd64) 
260410 173526.610|INFO|qtp1607460018-24|log|Working directory is C:\Users\Lenovo\git\2shahds_WCF_2026
260410 173526.611|INFO|qtp1607460018-24|log|Process id is 11828@lilsaados
260410 173526.611|INFO|qtp1607460018-24|log|Starting ConnectionManager...
260410 173526.613|INFO|qtp1607460018-24|log|Started ConnectionManager
260410 173526.624|SEVERE|qtp1607460018-24|log|Cannot start PC^2, pc2v9.ini file not found in C:\Users\Lenovo\git\2shahds_WCF_2026
260410 173526.624|INFO|qtp1607460018-24|log|Contacting server at localhost:50002
260410 173526.624|INFO|qtp1607460018-24|log|Connecting to localhost:50002
