260330 193505.705|CONFIG|qtp537548559-13|log|Now logging to /home/shahd/eclipse-workspace/wti1/logs directory.
260330 193505.706|INFO|qtp537548559-13|log|
260330 193505.706|INFO|qtp537548559-13|log|Version 9.10.0 () Java ver 11.0.30 build 7065 Linux 6.8.0-106-generic (amd64) 
260330 193505.706|INFO|qtp537548559-13|log|Working directory is /home/shahd/eclipse-workspace/wti1
260330 193505.707|INFO|qtp537548559-13|log|Process id is 5233@shahoda
260330 193505.707|INFO|qtp537548559-13|log|Starting ConnectionManager...
260330 193505.721|INFO|qtp537548559-13|log|Started ConnectionManager
260330 193505.722|SEVERE|qtp537548559-13|log|Cannot start PC^2, pc2v9.ini file not found in /home/shahd/eclipse-workspace/wti1
260330 193505.722|INFO|qtp537548559-13|log|Contacting server at localhost:50002
260330 193505.722|INFO|qtp537548559-13|log|Connecting to localhost:50002
