260403 173621.358|CONFIG|qtp1617791695-23|log|Now logging to /home/shahd/eclipse-workspace/wti1/logs directory.
260403 173621.359|INFO|qtp1617791695-23|log|
260403 173621.359|INFO|qtp1617791695-23|log|Version 9.10.0 () Java ver 11.0.30 build 7065 Linux 6.8.0-106-generic (amd64) 
260403 173621.360|INFO|qtp1617791695-23|log|Working directory is /home/shahd/eclipse-workspace/wti1
260403 173621.360|INFO|qtp1617791695-23|log|Process id is 14759@shahoda
260403 173621.360|INFO|qtp1617791695-23|log|Starting ConnectionManager...
260403 173621.369|INFO|qtp1617791695-23|log|Started ConnectionManager
260403 173621.369|SEVERE|qtp1617791695-23|log|Cannot start PC^2, pc2v9.ini file not found in /home/shahd/eclipse-workspace/wti1
260403 173621.370|INFO|qtp1617791695-23|log|Contacting server at localhost:50002
260403 173621.370|INFO|qtp1617791695-23|log|Connecting to localhost:50002
