260224 212216.391|CONFIG|qtp38997010-18|log|Now logging to C:\Users\Lenovo\git\2shahds_WCF_2026\logs directory.
260224 212216.392|INFO|qtp38997010-18|log|
260224 212216.392|INFO|qtp38997010-18|log|Version 9.10.0 () Java ver 1.8.0_51 build 7065 Windows 8.1 6.3 (amd64) 
260224 212216.392|INFO|qtp38997010-18|log|Working directory is C:\Users\Lenovo\git\2shahds_WCF_2026
260224 212216.393|INFO|qtp38997010-18|log|Process id is 23624@lilsaados
260224 212216.393|INFO|qtp38997010-18|log|Starting ConnectionManager...
260224 212216.395|INFO|qtp38997010-18|log|Started ConnectionManager
260224 212216.395|SEVERE|qtp38997010-18|log|Cannot start PC^2, pc2v9.ini file not found in C:\Users\Lenovo\git\2shahds_WCF_2026
260224 212216.396|INFO|qtp38997010-18|log|Contacting server at localhost:50002
260224 212216.396|INFO|qtp38997010-18|log|Connecting to localhost:50002
