260309 050448.492|CONFIG|qtp758529971-14|log|Now logging to /home/shahd/eclipse-workspace/wti1/logs directory.
260309 050448.493|INFO|qtp758529971-14|log|
260309 050448.493|INFO|qtp758529971-14|log|Version 9.10.0 () Java ver 11.0.30 build 7065 Linux 6.8.0-100-generic (amd64) 
260309 050448.493|INFO|qtp758529971-14|log|Working directory is /home/shahd/eclipse-workspace/wti1
260309 050448.494|INFO|qtp758529971-14|log|Process id is 26709@shahoda
260309 050448.494|INFO|qtp758529971-14|log|Starting ConnectionManager...
260309 050448.499|INFO|qtp758529971-14|log|Started ConnectionManager
260309 050448.499|SEVERE|qtp758529971-14|log|Cannot start PC^2, pc2v9.ini file not found in /home/shahd/eclipse-workspace/wti1
260309 050448.499|INFO|qtp758529971-14|log|Contacting server at localhost:50002
260309 050448.500|INFO|qtp758529971-14|log|Connecting to localhost:50002
