260403 165902.710|CONFIG|qtp537548559-14|log|Now logging to /home/shahd/eclipse-workspace/wti1/logs directory.
260403 165902.711|INFO|qtp537548559-14|log|
260403 165902.711|INFO|qtp537548559-14|log|Version 9.10.0 () Java ver 11.0.30 build 7065 Linux 6.8.0-106-generic (amd64) 
260403 165902.711|INFO|qtp537548559-14|log|Working directory is /home/shahd/eclipse-workspace/wti1
260403 165902.713|INFO|qtp537548559-14|log|Process id is 8440@shahoda
260403 165902.713|INFO|qtp537548559-14|log|Starting ConnectionManager...
260403 165902.727|INFO|qtp537548559-14|log|Started ConnectionManager
260403 165902.727|SEVERE|qtp537548559-14|log|Cannot start PC^2, pc2v9.ini file not found in /home/shahd/eclipse-workspace/wti1
260403 165902.728|INFO|qtp537548559-14|log|Contacting server at localhost:50002
260403 165902.728|INFO|qtp537548559-14|log|Connecting to localhost:50002
