260327 042726.800|CONFIG|qtp1763847188-16|log|Now logging to /home/shahd/eclipse-workspace/wti1/logs directory.
260327 042726.801|INFO|qtp1763847188-16|log|
260327 042726.801|INFO|qtp1763847188-16|log|Version 9.10.0 () Java ver 11.0.30 build 7065 Linux 6.8.0-106-generic (amd64) 
260327 042726.801|INFO|qtp1763847188-16|log|Working directory is /home/shahd/eclipse-workspace/wti1
260327 042726.802|INFO|qtp1763847188-16|log|Process id is 7568@shahoda
260327 042726.802|INFO|qtp1763847188-16|log|Starting ConnectionManager...
260327 042726.812|INFO|qtp1763847188-16|log|Started ConnectionManager
260327 042726.813|SEVERE|qtp1763847188-16|log|Cannot start PC^2, pc2v9.ini file not found in /home/shahd/eclipse-workspace/wti1
260327 042726.813|INFO|qtp1763847188-16|log|Contacting server at localhost:50002
260327 042726.813|INFO|qtp1763847188-16|log|Connecting to localhost:50002
