260411 013438.021|CONFIG|qtp1395089624-31|log|Now logging to C:\Users\Shahd\git\2shahds_WCF_2026\logs directory.
260411 013438.036|INFO|qtp1395089624-31|log|
260411 013438.036|INFO|qtp1395089624-31|log|Version 9.10.0 () Java ver 21.0.8 build 7065 Windows 11 10.0 (amd64) 
260411 013438.036|INFO|qtp1395089624-31|log|Working directory is C:\Users\Shahd\git\2shahds_WCF_2026
260411 013438.048|INFO|qtp1395089624-31|log|Process id is 11212@DESKTOP-5EPLK95
260411 013438.048|INFO|qtp1395089624-31|log|Starting ConnectionManager...
260411 013438.068|INFO|qtp1395089624-31|log|Started ConnectionManager
260411 013438.068|SEVERE|qtp1395089624-31|log|Cannot start PC^2, pc2v9.ini file not found in C:\Users\Shahd\git\2shahds_WCF_2026
260411 013438.068|INFO|qtp1395089624-31|log|Contacting server at localhost:50002
260411 013438.068|INFO|qtp1395089624-31|log|Connecting to localhost:50002
